,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
32,C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,0,0,0,0,0,0,-1,0,0,0
33,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)c1cccc(S(=O)(=O)O)c1,0,0,0,0,0,0,0,0,-1,-1,0
34,Cc1cc(C)c(N)cc1C,0,0,0,0,0,0,0,0,-1,-1,0
35,c1ccc2c(c1)OC[C@H](CNCCCOc1ccc3c(c1)OCO3)O2,0,0,0,0,0,0,0,-1,0,0,0
36,O=C1CCC(c2ccc(-n3ccnc3)cc2)N=N1,0,0,0,0,0,0,0,0,-1,-1,0
37,Oc1nc2cc(Cl)ccc2n1C1CCNCC1,0,0,0,0,0,0,0,0,0,0,0
38,CC(=O)C1=C(C)N(CC(=O)OC(C)C)C(C)=C(C(O)=N[C@@H](Cc2ccccc2)[C@H](O)CNc2cccc(F)c2)[C@@H]1C,0,-1,0,0,0,0,0,0,0,0,0
39,CC1(C)COCN1,0,0,0,0,0,0,0,0,0,0,0
40,CN=C(O)C(c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,-1,-1,0
41,COc1cc(CC(C)N)c(OC)cc1C,0,0,0,0,0,0,0,0,0,-1,0
42,Cc1c(C(O)=NCCCO)cnn1-c1nc(-c2cccc(C(F)(F)F)c2)cs1,0,0,0,0,0,0,0,-1,0,0,0
43,O=C(CCl)N1CCC(C(O)=Nc2ccccc2)CC1,0,0,0,0,0,0,-1,0,0,0,0
44,CCOC(=O)C(CCc1ccccc1)NC1CSC(c2cccs2)CN(CC(=O)O)C1=O,0,0,0,0,0,0,0,0,-1,-1,0
45,CC(S)C(O)=NCC(=O)O,0,0,0,0,1,-1,0,0,-1,-1,-1
46,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0,0,0,0,-1,-1,0,0,0,0,1
47,CCCCN(CCCC)C(=O)N(CCCC)CCCC,0,0,0,0,0,0,0,0,0,-1,0
48,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,0,0,0,-1,0,0,0,0,0,0,0
49,CN=C(O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F,0,0,0,0,0,0,0,-1,0,0,0
50,CN1CCN(C2CCN(C(O)=Nc3cc(Oc4ccc(N=C(O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1,0,0,0,0,0,0,0,-1,0,0,0
51,CCc1cc(C2(c3cccc(-c4cccnc4F)c3)NC(=N)N(C)C2=O)cc(CC)n1,0,1,0,0,0,0,0,0,0,0,0
52,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,0,0,0,0,0,0,-1,1,1,0
53,Cn1cnc2nc(O)nc(O)c21,0,0,0,0,0,0,0,-1,0,0,0
54,CC(Oc1ccc(-c2ccccc2)cc1)C(=O)O,0,0,0,0,0,0,-1,0,0,0,0
55,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0,0,0,0,0,0,0,0,0,0,0
56,COC(=O)c1ccccc1C,0,0,0,0,0,0,0,0,-1,-1,0
57,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2SC(=O)N=C2O)c2sccc12,0,0,0,0,0,0,0,-1,0,0,0
58,NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1,0,0,0,0,0,0,0,0,-1,-1,0
59,COc1cncc(-c2cccc(CNc3cccnc3N)c2)c1,0,-1,0,0,0,0,0,0,0,0,0
60,N#CBr,0,0,0,0,0,0,0,0,0,0,0
61,CN=C(O)c1c(F)cccc1N=c1[nH]c(=Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)[nH]c2[nH]ccc12,0,0,0,0,0,0,0,-1,0,0,0
62,COc1cc(CN=C(O)CCCCC=CC(C)C)ccc1O,0,0,0,0,0,0,0,0,0,-1,1
63,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,0,0,0,0,0,0,0,0,-1,-1,0
64,COc1ccccc1N(c1cccc(C(O)=NC(Cc2ccccc2)C(O)C[NH2+]C(C)C(O)=NC2CCCCC2)c1)S(C)(=O)=O,0,-1,0,0,0,0,0,0,0,0,0
65,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,0,0,1,0,1,-1,0,0,0,0,0
66,CC(C)[N+](C)(C)CC(O)COc1cccc2ccccc12,0,0,0,0,0,0,0,0,-1,-1,0
67,CSCCC(N)C(=O)O,0,0,0,0,0,0,0,0,-1,-1,0
68,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,0,0,0,0,0,0,0,-1,0,0,0
69,CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2,0,0,0,0,0,0,0,0,-1,-1,0
70,CC(C)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,-1,0,0,-1,-1,1,0,-1,0,0,1
71,Nc1cccc(Cn2c(-c3ccc(Oc4cnccn4)cc3)ccc2-c2ccccc2Cl)n1,0,-1,0,0,0,0,0,0,0,0,0
72,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccccc12,0,0,0,0,0,0,0,-1,0,0,0
73,CSc1ccc(C(=O)C(C)(C)N2CCOCC2)cc1,0,0,0,0,0,0,0,0,-1,-1,0
74,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,0,0,0,0,0,0,0,0,1,0,0
75,O=C1/C(=C2/C(O)=Nc3ccccc32)Nc2ccccc21,0,0,0,0,0,0,0,-1,0,0,0
76,COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)N=C(O)c2cc(C(C)=O)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,0,1,0,0,0,0,0,0,0,0,0
77,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0,0,1,0,0,0,0,0,1,-1,0
78,O=C(O)C(O)C(O)C(O)C(O)C(=O)O,0,0,0,0,0,0,0,0,-1,-1,0
79,[O-][N+](=Nc1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,-1,0
80,CON=C(C(O)=NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CSC12)c1nc(=N)s[nH]1,0,0,0,0,0,0,0,0,-1,-1,0
81,O=C1OC(=O)c2ccc3c4c(ccc1c24)C(=O)OC3=O,0,0,0,0,0,0,0,0,0,0,0
82,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,0,0,0,0,0,0,0,-1,0,0,0
83,CCCCCCCCCCCCCC=O,0,0,0,0,0,0,0,0,-1,-1,0
84,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,-1,0,0,0,0,0,0,-1,0,0,0
85,O=C(CCl)N1CCN(c2ccccc2[N+](=O)[O-])CC1,0,0,0,0,0,0,1,0,0,0,0
86,OC1COC2C(O)COC12,0,0,0,0,0,0,0,0,-1,-1,0
87,CCCCCCOc1ccccc1C(=N)O,-1,0,0,0,0,0,0,-1,1,-1,0
88,CNNC,0,0,0,0,0,0,0,0,-1,-1,0
89,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,-1,0,-1,0,0,0,0,0,0,0,0
90,OC1=NOCC1,0,0,0,0,0,0,-1,0,0,0,0
91,OC(=Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)cc1,0,0,0,0,0,0,0,-1,1,1,0
92,CSc1ccc(O)cc1C,0,0,0,0,0,0,0,0,0,0,0
93,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,0,0,0,0,0,0,0,0,0,-1,-1
94,CC1C(c2ccccc2)OCCN1C,0,0,0,0,-1,-1,0,0,0,0,-1
95,IC(I)=C(I)I,0,0,0,0,0,0,0,0,1,1,0
96,CN(C)C1C(=O)C(C(=N)O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,0,0,0,0,0,0,0,0,0,-1,0
97,CC(C)N(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@H]1C[C@@H](CCc2nc3ccc(C(C)(C)C)cc3[nH]2)C1,0,0,0,0,0,0,0,-1,0,0,0
98,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.O=C(O)C(O)C(O)C(=O)O,0,0,0,0,0,0,0,-1,0,0,0
99,Cl.Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,1,0,0,0,0,0,0,0,0,0,0
100,Cl.N=c1[nH]c(N)cs1,0,0,0,0,0,0,-1,0,0,0,0
101,CCC(CC(O)=NCc1ccc(F)cc1)n1c(=N)[nH]c2cc(Cl)ccc21,0,-1,0,0,0,0,0,0,0,0,0
102,O=c1nc(O)ccn1C1OC(CO)C(O)C1O,0,0,1,0,0,0,0,0,0,0,0
103,CCCCC(CC)C(=O)O,0,0,0,0,0,0,0,0,-1,-1,0
104,CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,0,0,0,-1,0,0,0,0,0,0,0
105,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,0,0,0,0,0,0,0,0,0,0,0
106,COc1cc(CCC(C)=O)ccc1O,0,0,0,0,0,0,0,0,-1,-1,0
107,CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1.Cl.Cl,0,0,0,0,0,0,0,-1,0,0,0
108,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0,0,0,0,0,0,0,0,1,-1,0
109,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(O)=NC(C)(C)CS(C)(=O)=O,0,0,0,0,0,0,0,0,1,-1,0
110,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,0,0,0,0,0,0,0,-1,1,0,0
111,C=C(C)C(=O)OCCCCCC,0,0,0,0,0,0,0,0,-1,-1,0
112,CCOC(=O)c1ccc(N(C)c2csc(-c3ccccc3)n2)cc1,0,0,0,0,0,0,0,-1,0,0,0
113,C=C(CC(=O)O)C(=O)O,0,0,0,0,0,0,0,0,-1,-1,0
114,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S([NH3+])(=O)=O)cc21,0,0,0,-1,0,0,0,0,0,0,0
115,[O-]n1ccccc1=S.[O-]n1ccccc1=S.[Zn+2],0,0,0,0,0,0,0,-1,0,0,0
116,c1ccc(CCCc2ccncc2)cc1,0,0,0,0,0,0,0,0,1,-1,0
117,CC(C)c1cccc(C(C)C)c1O,-1,0,1,-1,1,-1,0,0,0,-1,1
118,O=S(=O)(O)c1cc(N=C(O)c2cc(S(=O)(=O)O)c3cccnc3c2O)ccc1C=Cc1ccc(N=C(O)c2cc(S(=O)(=O)O)c3cccnc3c2O)cc1S(=O)(=O)O,0,0,0,0,0,0,0,0,0,-1,0
119,CCCCCCOCCOCCO,0,0,0,0,0,0,0,0,-1,-1,0
120,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,0,0,0,0,0,0,0,0,0,0,0
121,Oc1cccc2[nH]ccc12,0,0,0,0,0,0,0,0,0,0,0
122,CC(Cc1ccccc1)N(C)C,0,0,1,0,0,0,0,0,-1,-1,0
123,Oc1n[nH]c2ccccc12,0,0,0,0,0,0,0,0,-1,-1,0
124,CC[N+](CC)(CC)CC[C@](O)(c1ccccc1)C1CCCCC1,0,0,0,0,0,0,0,-1,0,0,0
125,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,0,0,0,0,0,0,0,0,1,-1,-1
126,COC(=O)C(Cc1ccccc1)N=C(O)C(N)CC(=O)O,0,0,0,0,0,0,0,0,-1,-1,0
127,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,-1,0,-1,0,-1,1,0,0,0,0,-1
128,CCCCCCCCCCCCCCCCCCCCCC(=O)O,0,0,0,0,0,0,0,-1,0,0,0
129,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,0,0,0,0,0,0,0,-1,0,0,0
130,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O=P(O)(O)O,0,0,0,0,0,0,0,-1,0,0,0
131,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,0,0,0,0,0,0,0,0,1,-1,0
132,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl.O.O.O,-1,0,0,0,0,0,0,-1,0,0,0
133,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,-1,0,1,0,0,0,0,-1,0,-1,0
134,c1cnc2cc3c(cc2n1)C1CNCC3C1,0,0,0,0,0,0,0,0,-1,-1,1
135,CCc1cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)(C)C)c3)C2O)cc(F)c1[NH3+],0,-1,0,0,0,0,0,0,0,0,0
136,CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,0,0,0,0,0,0,0,-1,0,0,0
137,CCn1cc(C2(c3cccc(N=C(O)c4ccccn4)c3)NC(=N)c3c(F)cccc32)cc(C)c1=O,0,1,0,0,0,0,0,0,0,0,0
138,CNCCCCOc1ccccc1Cc1ccccc1,0,0,0,0,0,0,0,0,1,-1,0
139,N[C@@H](Cc1cc(CP(=O)(O)O)cc(-c2ccccc2Cl)c1)C(=O)O,0,0,0,0,0,0,0,-1,0,0,0
140,OC(Cc1ccc(Cl)cc1)=Nc1ncccn1,0,0,0,0,0,0,-1,0,0,0,0
141,CCOP(=O)(SC(C)CC)N1CCSC1=O,0,0,0,0,0,0,0,0,-1,-1,0
142,N=C(N)N=C(O)c1nc(Cl)c(N)nc1N,0,0,1,0,1,-1,0,0,0,0,0
143,CC(O)C(C)O,0,0,0,0,0,0,0,0,-1,-1,0
144,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],-1,0,-1,0,0,0,0,0,0,0,0
145,O=C(Nc1ccc2c(c1)Cc1ccccc1-2)C(F)(F)F,0,0,0,0,0,0,0,0,0,-1,0
146,COc1cc(/C=C2\CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1,0,0,0,0,0,0,0,-1,0,0,0
147,O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,0,0,1,0,0,0,0,0,0,0,0
148,NS(=O)(=O)c1ccccc1Cl,0,0,0,0,0,0,0,0,-1,-1,0
149,CC1(C)C[C@@H]1C([O-])=N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O.[Na+],0,0,0,0,0,0,0,-1,0,0,0
150,Cl.FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c2ccccc2)cc(C(F)(F)F)c1,0,0,0,0,0,0,0,-1,0,0,0
151,CCc1ccc(O)cc1,0,0,0,0,0,0,0,0,0,-1,0
152,CC(C)OC(=O)CN1C=C(C(O)=N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)[C@H](C)C(C(O)=N[C@H](C)c2ccccc2)=C1,0,-1,0,0,0,0,0,0,0,0,0
153,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)nc1O.N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0,0,0,0,0,0,0,0,0,0,1
154,CCCCC(CC)COC(=O)c1ccccc1,0,0,0,0,0,0,0,0,0,-1,0
155,O=C(O)c1cc2ccccc2c(Cc2c([O-])c(C(=O)O)cc3ccccc23)c1[O-],0,0,0,-1,0,0,0,0,0,0,0
156,C=Cc1ccccc1S(=O)(=O)[O-].[Ca+2],0,0,0,0,-1,-1,0,0,0,0,0
157,[NH2+]=C1N[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCN12,0,-1,0,0,0,0,0,0,0,0,0
158,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0,0,0,0,0,0,0,0,-1,-1,0
159,CC1CN1P(=O)(N1CC1C)N1CC1C,0,0,0,0,0,0,0,0,-1,-1,0
160,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,0,0,1,0,0,0,0,0,0,0,0
161,CNC1CCC(c2ccccc2)c2ccccc21,0,0,1,0,0,0,0,0,0,0,0
162,CC(Cc1ccccc1)NCCC1c2ccccc2Sc2ccccc21,0,0,1,0,0,0,0,0,0,0,0
163,Cc1ccc(=O)n(-c2ccccc2)c1,-1,0,0,0,0,0,0,-1,-1,-1,1
164,OC(=Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1)N=C(O)c1c(F)cccc1F,0,0,0,0,0,0,0,0,-1,0,0
165,Cc1oc(=O)oc1COC(=O)C1=C([C@H]2CCCO2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12,0,0,0,0,0,0,0,-1,0,0,0
166,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,0,0,0,0,0,0,-1,-1,0
167,N=C(O)Nc1ccc([As](=O)(O)O)cc1,-1,0,0,0,0,0,0,0,0,0,0
168,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1.Cl,-1,0,0,0,0,0,0,-1,0,0,0
169,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-1,0,-1,0,1,-1,0,-1,-1,-1,1
170,CCCCn1cc(C2(c3cccc(-c4cncnc4)c3)NC(=N)N(C)C2=O)cn1,0,1,0,0,0,0,0,0,0,0,0
171,OC(=Nc1ccc(CN2CCOCC2)cc1)c1ccc(-c2cccc(Cl)c2)o1,0,0,0,0,0,0,0,-1,0,0,0
172,N=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0,0,0,0,0,0,0,-1,-1,-1,0
173,CCCCOCCOCCOC(C)=O,0,0,0,0,0,0,0,0,-1,-1,0
174,C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Ca+2],0,0,0,0,0,0,0,-1,0,0,0
175,COc1cc(C=O)cc2c1C(COC(=N)O)C1(OC(C)=O)ON2CC2C1N2C(C)=O,0,0,0,0,0,0,0,0,-1,1,0
176,O=C([O-])C1O[C@@H](OC2[C@@H](COS(=O)(=O)[O-])OC(O)C(NS(=O)(=O)[O-])[C@H]2O)C(OS(=O)(=O)[O-])[C@@H](O)C1O,0,0,0,0,1,-1,0,0,0,0,0
177,CCN1CCC[C@H]1CN=C(O)c1c(OC)ccc(Br)c1OC.Cl,-1,0,0,0,0,0,0,0,0,0,0
178,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,-1,0,0,0,0,0,0,-1,0,0,0
179,C[C@]12CCC3C(C=CC4=CC(=O)CC[C@@]43C)C1CC[C@@]21CCC(=O)O1,0,0,0,0,0,0,0,-1,0,0,0
180,N=c1[nH]nc(-c2ccc([N+](=O)[O-])o2)o1,0,0,0,0,0,0,0,0,0,-1,0
181,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,-1,0,1,0,0,0,0,-1,0,0,0
182,O=C([O-])C(O)C(O)C(=O)[O-],0,0,0,-1,0,0,0,0,0,0,0
183,Nc1cccc(Cn2c(-c3ccc(Nc4cncnc4)cc3)ccc2-c2ccccc2Cl)n1,0,-1,0,0,0,0,0,0,0,0,0
184,CCC=C1OC(=O)c2ccccc21,0,0,0,0,0,0,0,0,-1,-1,0
185,O=C(c1ccccc1O)c1ccccc1O,0,0,0,0,0,0,0,0,1,-1,0
186,CC(C)CC(O)=Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,0,0,0,0,0,0,0,-1,0,0,0
187,O=C(O)C(Br)Br,0,0,0,0,0,0,0,0,-1,-1,0
188,COc1ccc2cccc(CCN=C(C)O)c2c1,0,0,0,0,0,0,0,-1,0,0,-1
189,Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12,0,0,0,0,0,0,0,-1,0,0,0
190,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0,0,0,0,0,0,-1,0,0,0
191,CO[C@H]1/C=C\C=C(/C)C(O)=NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(=N)O)C2=O,0,0,0,0,0,0,0,-1,0,0,0
192,O=C1OC(=O)c2cc([N+](=O)[O-])ccc21,0,0,0,0,0,0,0,0,-1,-1,0
193,N=C1NC(c2ccncc2)(c2cccc(-c3cncnc3)c2)c2ccccc21,0,-1,0,0,0,0,0,0,0,0,0
194,CC(C)(S)[C@@H](N)C(=O)O,0,0,0,-1,1,-1,0,-1,0,0,0
195,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,0,0,0,0,0,0,0,0,1,-1,0
196,O=[N+]([O-])c1cccc2c[nH]nc12,0,0,0,0,0,0,0,-1,0,0,0
197,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,0,0,0,-1,0,0,0,0,0,0,0
198,CCOC(=O)Oc1c(OC)cc(C(=O)OC2CC3CN4CCc5c([nH]c6cc(OC)ccc56)C4CC3C(C(=O)OC)C2OC)cc1OC,0,0,0,0,0,0,0,0,1,-1,0
199,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1,0,0,0,0,0,0,0,-1,0,0,0
200,Cc1ncc([N+](=O)[O-])n1CCO,-1,0,1,-1,-1,-1,0,-1,-1,-1,1
201,[Cl-],0,0,0,0,0,0,0,0,0,0,-1
202,CCC1CO1,0,0,0,0,0,0,0,0,-1,-1,0
