,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
15,-0.945359,-1.428941,0.747271,-0.954813,-0.402780,-0.767569,-1.046915,-1.004656,-1.022624,-1.046521,0.676926
16,-0.892995,-1.233240,0.879716,-1.018284,-0.602727,-0.592309,-0.747944,-0.946229,-0.947157,-0.881493,0.531834
17,-0.848819,-0.764348,0.321876,-0.877026,-0.149242,-0.689442,-0.801667,-0.957307,-0.729507,-0.769267,0.360531
18,-0.809825,-1.320751,0.920445,-0.975731,-0.341756,-0.796218,-0.995782,-0.991705,-1.114767,-0.982772,0.801726
19,-0.870311,-1.154926,0.582340,-0.742366,-0.187689,-0.487126,-0.821479,-0.931691,-0.649404,-0.760867,0.856121
20,-0.922560,-0.118280,0.337649,-0.790388,0.139761,-0.626973,-0.736311,-0.833173,-0.537971,-0.767040,0.471825
21,-0.950231,-0.474015,0.681153,-0.727196,-0.034592,-0.775988,-0.787984,-0.913485,-0.530910,-0.774979,0.942228
22,-0.859303,-1.414042,0.922426,-1.030772,-0.608475,-0.701361,-0.925992,-0.978301,-0.990934,-1.057181,0.610171
23,-0.933067,-0.209644,-0.637073,-0.889384,0.326422,-0.809734,-0.678077,-0.925881,-0.621216,-0.806244,0.456843
24,-0.814873,-0.512743,0.440516,-0.739682,-0.138580,-0.465581,-0.759548,-0.876972,-0.633076,-0.770651,0.358226
25,-0.949755,-0.978766,0.729652,-0.841620,-0.627179,-0.800710,-0.789056,-1.041056,-0.774373,-0.941454,0.596438
26,-0.943881,-0.669112,-0.900907,-0.896775,0.887157,-1.036072,-0.801020,-0.979954,-0.989551,-0.957976,0.908277
27,-0.894343,-1.341311,0.883731,-0.908873,-0.612053,-0.793642,-0.985838,-0.976043,-1.090081,-0.945522,0.910207
28,-0.819179,1.020002,0.203519,-0.764449,0.017926,-0.725355,-0.735922,-0.856208,-0.341480,-0.675320,0.677325
29,-0.808924,-0.401281,0.210526,-0.800798,-0.493164,-0.893854,-0.816638,-0.936860,-0.122006,-0.605014,0.565629
30,-0.918865,-0.855739,0.672138,-0.907458,-0.640874,-0.842108,-0.855807,-0.924429,-0.938432,-0.865076,0.986353
31,-0.892461,-0.258741,0.259619,-0.675438,-0.418543,-0.678178,-0.790294,-0.922609,-0.014364,-0.512552,0.544119
32,-0.927185,-1.276597,0.647369,-0.885651,-0.322077,-0.642419,-0.808042,-0.874990,-0.864035,-0.949490,0.714504
33,-0.959474,-1.055153,0.934842,-0.868241,-0.628641,-0.942504,-1.060542,-0.954072,-1.005336,-0.918839,0.775124
34,-0.861325,-1.222819,0.534932,-0.920063,-0.636598,-0.931216,-0.959342,-1.004863,-1.010873,-0.923065,0.509080
35,-0.870057,-0.544397,0.290312,-0.707448,0.035473,-0.746099,-0.775525,-0.893174,-0.368653,-0.723250,0.527896
36,-0.856652,-0.634307,0.814122,-0.755645,-0.214306,-0.812730,-0.916661,-0.934136,-0.717867,-0.842209,0.022916
37,-0.941824,-1.305701,0.938041,-0.861307,-0.686611,-0.734741,-0.893964,-1.013268,-0.997032,-0.974741,0.760231
38,-0.807066,0.723784,0.374918,-0.796702,0.052567,-0.736080,-0.721323,-0.865688,-0.450776,-0.715243,0.530183
39,-0.848469,-0.852535,0.690306,-0.841570,0.254310,-0.781288,-0.852162,-0.896662,-0.524638,-0.756181,0.356285
40,-0.759415,-0.825514,0.792825,-0.744365,-0.206860,-0.873026,-0.779127,-0.909385,-0.869726,-0.893768,0.532616
41,-0.978664,-1.105667,0.509103,-0.890253,-0.637733,-0.511236,-0.725949,-0.949552,-0.850910,-0.989935,0.306488
42,-0.923279,-1.005108,0.203947,-0.949546,-0.243598,-0.813191,-0.941100,-1.016950,-0.981958,-0.742989,0.669148
43,-0.797560,-0.541977,0.300507,-0.788822,0.311113,-0.763463,-0.809990,-0.851389,-0.545189,-0.757722,0.469352
44,-0.902865,-0.466756,0.287244,-0.811123,-0.153502,-0.527539,-0.733961,-0.874778,-0.869019,-0.840084,0.476742
45,-0.795921,-1.006177,0.570829,-0.794461,0.032153,-0.788628,-0.857330,-0.968399,-0.845127,-1.039054,0.700099
46,-0.808516,-0.493795,-0.156972,-0.698310,-0.123121,-0.598824,-0.736844,-0.853637,-0.373497,-0.676683,0.464280
47,-0.837436,-1.101276,0.340369,-0.930018,-0.694835,-0.615883,-0.889822,-0.999018,0.068408,-0.537114,0.480935
48,-0.875334,-0.905286,0.880737,-0.774941,-0.124268,-0.689361,-0.887101,-0.857828,-0.410200,-0.842008,0.643272
49,-0.807449,-0.281561,1.012335,-0.477467,0.508111,-0.764233,-0.756892,-0.942354,-0.903549,-0.896430,0.732532
50,-0.817009,-0.432975,0.419239,-0.859743,-0.052107,-0.565869,-0.826183,-0.857074,-0.312100,-0.733557,0.476949
51,-0.882900,-1.154608,1.056596,-0.837277,-0.302510,-1.174132,-0.910868,-1.006661,-0.926351,-1.060249,0.737642
52,-0.836702,-1.377502,1.020057,-0.917892,-0.824395,-0.799933,-1.091918,-0.996446,-0.996607,-0.874443,0.559762
53,-0.853919,-0.670366,0.326574,-0.715209,-0.301130,-0.414585,-0.932430,-0.931551,-0.427547,-0.776798,0.596859
54,-0.867049,0.018547,0.379049,-0.640746,0.013507,-0.634064,-0.754337,-0.905904,-0.352365,-0.679398,0.611482
55,-0.957746,-1.126801,-0.064327,-0.853410,-1.013222,-0.915566,-0.920009,-0.999930,-0.935154,-0.977765,0.913042
56,-0.780874,-1.177176,0.683051,-0.931473,-0.498354,-0.769282,-1.037478,-0.975540,-1.088369,-0.950962,0.486484
57,-0.843861,-0.127233,0.587744,-0.613644,-0.325821,-0.517454,-0.847569,-0.951336,-0.549945,-0.665706,0.590282
58,-0.835123,-0.998364,0.452363,-0.903736,-0.882682,-0.512823,-0.905500,-0.973391,0.759043,-0.796131,0.440240
59,-0.885814,-0.979410,0.880808,-0.902931,-0.390460,-0.790763,-1.001199,-0.975809,-0.815232,-0.944805,0.626266
60,-0.985282,-1.032179,0.776206,-0.865321,-0.085592,-1.042332,-0.896641,-0.976769,-0.862913,-1.050784,0.674471
61,-0.841200,-0.745718,0.566968,-0.843594,0.261003,-0.690693,-0.794820,-0.901195,-0.494689,-0.692961,0.425999
62,-0.928982,-1.171185,0.495442,-0.976818,-0.907300,-0.885844,-0.907128,-0.980329,-0.932828,-0.875435,0.533252
63,-0.327846,-0.506118,0.850388,-0.748036,-0.013318,-0.734502,-0.774273,-0.964545,-0.680461,-0.841600,0.518564
64,-0.852802,-0.081306,-0.436089,-0.660773,0.157372,-0.701265,-0.723552,-0.917957,-0.389788,-0.700171,0.433076
65,-0.765645,-1.072238,0.674258,-0.919955,-0.835255,-0.951903,-0.948689,-0.933412,-0.934497,-1.137454,0.727656
66,-0.913851,-0.426419,0.253689,-0.891028,0.597272,-0.918136,-0.846538,-0.920170,-0.912787,-0.862191,0.991797
67,-0.817286,-0.381047,0.083679,-0.782215,0.049528,-0.847224,-0.678084,-0.882458,-0.641210,-0.820233,0.468368
68,-0.879584,-0.194017,0.543572,-0.694521,0.106825,-0.692919,-0.792097,-0.926020,-0.610471,-0.739786,0.577510
69,-0.904917,-1.258089,1.088290,-0.932216,-0.541609,-0.571501,-0.912331,-0.982504,-0.920617,-0.991305,0.532513
70,-0.936383,-1.334445,0.645299,-1.024952,-0.726765,-0.906394,-1.027211,-0.988336,-0.811828,-0.867484,0.547707
71,-0.898358,-1.070378,0.704853,-0.905441,-0.530940,-0.510418,-0.868070,-0.996105,-0.410687,-0.708988,0.650380
72,-0.814224,-0.285275,0.625170,-0.837426,0.386248,-0.753761,-0.809952,-0.862740,-0.680562,-0.769468,0.857677
73,-0.892162,-1.496355,0.878544,-0.888995,-0.598261,-0.828361,-1.081477,-0.998970,-1.110546,-1.025386,0.807248
74,-0.840358,-1.120806,1.024298,-0.871732,0.034974,-0.906608,-0.937986,-1.056533,-1.130257,-0.938578,0.636072
75,-0.806565,-0.644692,0.592668,-0.766094,-0.113708,-0.587753,-0.777270,-0.925379,-0.478420,-0.985691,0.472203
76,-0.864684,-1.184828,0.571596,-0.875771,-0.397011,-0.796367,-0.975695,-0.937345,-0.970512,-0.958517,0.402830
77,-0.900132,-0.414449,-0.709418,-0.898551,0.164528,-0.635854,-0.723273,-0.960187,-0.778911,-0.831367,0.500557
78,-0.911773,-0.781471,0.422088,-0.809986,-0.275342,-0.620673,-0.666360,-1.011129,-0.832831,-0.896534,0.337627
79,-0.819824,-0.595290,0.733022,-0.719110,0.084211,-0.673137,-0.769026,-1.017271,-0.520877,-0.830598,0.587553
80,-0.902805,-0.609232,0.628292,-0.826273,0.209279,-0.908806,-0.821304,-0.912602,-0.686522,-0.785086,0.412265
81,-0.906103,-1.228566,0.593213,-0.994544,-0.970639,-0.604820,-0.881932,-1.032078,-0.731985,-0.856196,0.601738
82,-0.952475,-1.046240,0.680782,-0.910781,-0.487958,-0.610148,-0.778754,-0.958826,-0.783254,-0.968571,0.521968
83,-0.868140,-0.426065,0.540110,-0.788836,-0.098185,-0.529552,-0.789557,-0.935039,-0.572565,-0.648984,0.447001
84,-0.916413,-0.697229,0.586506,-0.750351,-0.233561,-0.525821,-0.883852,-0.930567,-0.848055,-0.883349,0.519342
85,-0.861492,0.778930,0.031401,-0.736835,0.097737,-0.679657,-0.721612,-0.835444,-0.343470,-0.632519,0.553215
86,-0.899575,-0.401511,0.776324,-0.748171,0.397544,-0.858278,-0.753058,-0.928605,-0.538519,-0.745316,0.675967
87,-0.904007,-0.104143,0.757745,-0.907405,0.010567,-0.523549,-0.767554,-0.921706,-0.616326,-0.808466,0.473019
88,-0.849167,-0.598997,0.364191,-0.844139,0.028687,-0.638480,-0.819430,-0.919638,-0.318501,-0.684371,0.608467
89,-0.928001,-1.228403,0.653714,-0.948594,-0.449603,-0.863173,-0.992021,-1.024424,-0.912261,-0.920716,0.710276
90,-0.852436,-1.526998,1.173865,-0.887919,-0.680721,-0.493898,-0.936689,-0.982939,-0.733062,-0.713100,0.530873
91,-0.869788,-0.130617,-0.155285,-0.821142,-0.498026,-0.853353,-0.775096,-0.918717,-0.682790,-0.797698,0.763298
92,-0.912535,-1.261154,0.673545,-0.975224,-0.690841,-0.970549,-1.074158,-1.015120,-1.033223,-1.058908,0.788690
93,-0.896680,-0.724475,0.632134,-0.627118,-0.007292,-0.627067,-0.830463,-0.987884,-0.828214,-0.401890,0.524372
94,-0.839389,-0.296101,0.450199,-0.706788,0.546535,-0.778565,-0.740693,-0.937566,-0.671534,-0.776517,0.704806
95,-0.854107,-1.227048,0.685171,-0.870904,-0.712432,-0.751745,-0.974597,-0.947782,-1.021459,-0.806649,0.631237
96,-0.952481,-0.910411,1.127498,-0.915682,-0.188893,-0.753276,-0.863699,-0.887848,-0.927434,-1.035364,0.611333
97,-0.957562,-1.005684,0.926293,-0.956720,-0.544084,-0.451754,-0.992332,-0.961095,-0.578282,-0.768562,0.280894
98,-0.835612,0.292732,0.042639,-0.833488,-0.095786,-0.785200,-0.745500,-0.896153,-0.413912,-0.649776,0.589890
99,-0.844939,-0.420868,0.571758,-0.659061,-0.153718,-0.699862,-0.754436,-0.877568,-0.505230,-0.556128,0.519960
100,-0.847558,-1.221188,0.944289,-0.994855,-0.893777,-0.985882,-1.095919,-0.970066,-1.035220,-1.014731,0.786849
101,-0.905844,-0.970939,0.862629,-0.762436,0.002836,-0.746615,-0.815011,-0.884557,-0.811455,-0.983783,0.174743
102,-0.756845,-1.096108,0.946496,-0.896576,0.116028,-0.805943,-0.884665,-0.956032,-0.308185,-0.876824,0.518245
103,-0.833931,-1.064256,0.809110,-0.854554,-0.531916,-0.554576,-0.889088,-0.926717,-1.066226,-0.995997,0.482190
104,-0.829401,-0.490323,0.657582,-0.782171,0.135466,-0.917168,-0.829920,-0.937649,-0.742670,-0.794028,0.554628
105,-0.860784,0.210319,0.341729,-0.706551,-0.022686,-0.796705,-0.756691,-0.893262,-0.309169,-0.750434,0.666929
106,-0.908533,0.366287,0.816335,-0.660557,0.000781,-0.582475,-0.799518,-0.967702,-0.540755,-0.654793,0.638973
107,-0.828048,-0.405969,0.265996,-0.870242,-0.436361,-0.418305,-0.809101,-0.867296,-0.579407,-0.678177,0.606470
108,-0.878767,-0.971475,0.746648,-0.774319,-0.185370,-0.711888,-0.786214,-0.943454,-0.856346,-0.749345,0.480891
109,-0.894987,-1.006655,0.711519,-0.937284,-0.543772,-0.866426,-1.002681,-0.928656,-0.844772,-0.832101,0.730622
110,-0.847102,-0.794376,0.365577,-0.896838,0.045370,-0.859446,-0.822344,-0.938271,-0.863783,-0.891775,0.359674
111,-0.875351,-1.190976,0.922886,-0.932963,-0.659585,-0.983428,-1.089223,-0.992718,-0.832779,-0.955437,0.700272
112,-0.894672,-0.895604,0.258088,-0.978714,0.129355,-1.012062,-0.885134,-0.930525,-0.755775,-0.919896,0.692105
113,-0.846055,-1.142742,0.956364,-1.035978,-0.866879,-0.384577,-0.945945,-0.912188,-0.818030,-0.982899,0.635911
114,-0.885169,-0.289063,-0.369226,-0.729084,-0.336353,-0.805449,-0.775585,-0.912884,-0.724498,-0.789544,0.708086
115,-0.851775,-1.313099,0.693218,-0.897314,-0.622427,-0.479323,-0.871618,-0.981819,-0.803802,-0.868994,0.429103
116,-0.919088,-1.301488,1.094862,-0.963297,-0.566043,-0.965282,-1.017206,-0.961458,-0.770704,-0.860393,0.649376
117,-0.927992,-0.531681,0.725625,-0.726237,-0.207644,-0.811545,-0.883386,-0.802845,-0.495613,-0.989085,0.843493
118,-0.888088,-0.696494,0.958414,-0.786160,-0.240531,-0.648934,-0.835207,-0.958275,-0.479329,-0.721519,0.448439
119,-0.840162,-0.786778,0.871254,-0.829301,-0.150156,-1.117625,-0.749808,-0.959873,-0.485651,-0.925697,0.538733
120,-0.897945,-0.349798,0.058728,-0.749817,0.060290,-0.754182,-0.751640,-0.918763,-0.470880,-0.692034,0.775290
121,-0.871910,-0.782712,0.587896,-0.622242,0.109532,-0.693631,-0.841790,-0.971941,-0.753717,-0.386535,0.439774
122,-0.925998,-0.915737,0.649447,-0.913587,-0.424553,-0.869802,-0.941827,-0.980860,-0.851982,-0.711563,0.690690
123,-0.894634,-1.307926,0.769791,-0.993290,-0.868272,-0.870779,-0.979546,-1.003129,-1.052234,-0.999387,0.702948
124,-0.867584,-1.340010,0.983170,-0.984354,-0.929093,-0.789853,-1.134081,-1.040664,-0.926486,-0.987688,0.639615
125,-0.788023,-0.325336,0.902880,-0.756061,0.120710,-0.784995,-0.700027,-0.912010,-0.615796,-0.809307,0.523897
126,-0.817459,-0.867373,0.777817,-0.851195,0.255996,-0.643948,-0.844317,-0.912496,-0.674346,-0.892647,0.576954
127,-0.909924,-0.224648,0.307887,-0.802485,0.000626,-0.531562,-0.735784,-0.752997,-0.308487,-0.605030,0.328285
128,-0.898775,-0.300919,0.571986,-0.714702,0.233654,-0.663240,-0.789185,-0.908066,-0.529282,-0.740846,0.590398
129,-0.826995,-1.112566,0.956250,-0.853258,-0.749257,-0.934361,-1.005203,-0.964653,-1.172248,-0.949300,0.479781
130,-0.867861,-0.139498,0.333624,-0.673843,0.087228,-0.632254,-0.790343,-0.857497,-0.396844,-0.697441,0.535773
131,-0.917174,-1.183656,1.066768,-0.947321,-0.798038,-0.981459,-1.106197,-1.019089,-1.013636,-1.057220,0.745205
132,-0.869579,-0.674834,0.299037,-0.786391,0.058946,-0.767160,-0.811947,-0.955738,-0.612100,-0.707149,0.515276
133,-0.852576,-0.799300,0.412333,-0.833434,-0.284362,-0.747098,-0.826870,-0.907731,-0.778749,-0.844393,0.688898
134,-0.859044,0.326391,-0.139499,-0.831652,0.589001,-0.797000,-0.718949,-0.889717,-0.268410,-0.748371,0.813612
135,-0.832387,-0.278437,0.373237,-0.731166,0.384481,-0.878773,-0.783209,-0.892255,-0.629624,-0.843723,0.436099
136,-0.849210,-0.874061,0.521143,-0.760259,-0.336169,-0.634851,-0.850807,-0.895426,-0.390245,-0.855518,0.379465
137,-0.849740,-1.136599,0.732948,-0.822091,-0.449762,-0.390112,-0.842750,-0.954290,-0.674650,-0.827662,0.498668
138,-0.946634,-0.199395,0.403936,-0.753342,-0.003186,-0.540492,-0.792429,-0.919523,-0.378551,-0.763937,0.525684
139,-0.914768,-0.896762,0.817488,-0.799974,-0.058109,-0.942534,-0.884626,-0.921357,-0.747545,-0.994445,0.785470
140,-0.880131,0.095828,0.424952,-0.703800,-0.080204,-0.394472,-0.803713,-0.856809,-0.154571,-0.454513,0.412792
141,-0.864088,-0.960068,0.910129,-0.886591,-0.732782,-0.959479,-0.959044,-0.848094,-0.900123,-1.025933,0.868518
142,-0.893106,-0.435408,0.730415,-0.666011,0.015266,-0.682785,-0.748102,-0.922715,-0.308192,-0.239172,0.078478
143,-0.894634,-1.307926,0.769791,-0.993290,-0.868272,-0.870779,-0.979546,-1.003129,-1.052234,-0.999387,0.702948
144,-0.841601,-0.247747,0.265847,-0.801029,0.261020,-0.910559,-0.780962,-0.898580,-0.567347,-0.813991,0.478189
145,-0.915438,-1.253721,0.968214,-0.932507,-0.654370,-1.021214,-1.106035,-1.015873,-1.208355,-1.038982,0.760130
146,-0.831097,-0.358849,0.287080,-0.782763,0.234053,-0.828450,-0.774285,-0.906529,-0.418244,-0.724415,0.766008
147,-0.786730,-0.688346,0.848809,-0.640210,0.017121,-0.793423,-0.808343,-0.897883,-0.619322,-0.865626,0.784717
148,-0.890575,-1.334812,0.694127,-1.017843,-0.164714,-0.984057,-1.080807,-1.017934,-1.003528,-0.967520,0.534381
149,-0.890800,-1.061441,0.751628,-0.752187,-0.560068,-0.723664,-0.996067,-0.968350,-1.031188,-0.963190,0.545725
150,-0.915223,-1.248372,0.883447,-0.967959,-0.577703,-0.912960,-1.047052,-0.970819,-1.006086,-1.004898,0.466877
151,-0.969344,-1.209402,0.783065,-0.873942,-0.539816,-0.658343,-0.831882,-1.006610,-0.929828,-0.935802,0.668577
152,-0.912341,-1.382570,1.092893,-0.919897,-0.404966,-0.716670,-0.673427,-1.062564,-0.813384,-1.008047,0.773570
153,-0.903985,-1.257840,0.897099,-0.897896,-0.772625,-0.490423,-0.924032,-0.985355,-0.804098,-0.886183,0.293422
154,-0.935890,-0.654527,0.258792,-0.776759,-0.343921,-0.480287,-0.824464,-0.950680,-0.311854,-0.770761,0.232049
155,-0.887157,-1.095370,1.019936,-0.904879,-0.857925,-0.796839,-0.974054,-0.890032,-0.900314,-0.934703,0.734567
156,-0.859592,-0.803353,1.000376,-0.906313,-0.341791,-1.101494,-0.936105,-0.993289,-0.650085,-0.909535,0.658249
157,-0.938304,-0.814586,0.317207,-0.927489,-0.270137,-0.526652,-0.891495,-1.013632,-0.621993,-0.883433,0.791702
158,-0.925029,-0.608631,0.060548,-0.900820,0.018095,-0.607438,-0.806561,-0.933743,-0.604712,-0.748386,0.085713
159,-0.878228,0.098483,-0.041136,-0.713211,0.415146,-0.768128,-0.717360,-0.893178,-0.470526,-0.734235,0.459444
160,-0.850622,-0.324300,0.209312,-0.706630,0.272103,-0.716789,-0.789207,-0.874210,-0.578789,-0.695827,0.474937
161,-0.881924,-0.789368,0.357975,-0.974178,-0.338487,-0.476938,-0.812902,-1.009861,-0.080923,-0.695560,0.581825
162,-0.884539,-0.333718,0.572842,-0.702122,-0.087739,-0.431555,-0.824886,-0.969154,-0.654334,-0.840840,0.758811
163,-0.910047,-0.340830,-0.502214,-0.870470,0.288995,-0.756610,-0.747735,-0.936292,-0.551016,-0.786290,0.439327
164,-0.914334,-1.218991,0.720555,-0.890498,-0.571273,-0.759006,-0.851174,-0.883231,-0.899737,-1.029659,0.890405
165,-0.862817,-0.728817,0.691997,-0.897544,-0.388556,-0.584886,-0.773655,-0.816166,-0.546516,-0.889379,0.432637
166,-0.897648,-1.029871,1.061531,-0.796212,-0.888215,-0.910622,-0.865936,-0.921919,-0.899382,-0.910006,0.922821
167,-0.881838,0.165078,-0.018579,-0.701990,0.033554,-0.606042,-0.733025,-0.878029,-0.322493,-0.614221,0.433034
168,-0.877004,-1.195593,0.966903,-0.844342,-0.875362,-0.514813,-1.040292,-0.917728,-0.909682,-0.941281,0.431048
169,-0.849830,-0.951639,0.184603,-0.786557,-0.228284,-0.597916,-0.690227,-0.990695,-0.844309,-0.802803,0.593276
170,-0.894935,-0.968716,0.819798,-0.975833,-0.413871,-0.979684,-0.953151,-0.995093,-0.904633,-0.874841,0.639743
171,-0.872431,-1.072684,0.948544,-0.920241,-0.065796,-0.603515,-0.751581,-0.954495,-0.490227,-0.644997,0.568121
172,-0.865361,-0.260239,0.480150,-0.762382,-0.137456,-0.875589,-0.850952,-0.926184,-0.768080,-0.804060,0.687055
173,-0.875180,-1.153977,0.602348,-0.892125,-0.541163,-0.435820,-0.833501,-0.961843,-0.745466,-0.597045,0.738305
174,-0.897354,-0.295566,0.871142,-0.772598,0.903573,-0.900399,-0.788308,-0.925795,-0.417734,-0.890180,0.900456
175,-0.889863,-0.454297,0.197398,-0.599616,-0.396248,-0.210771,-0.792244,-0.883803,-0.338232,-0.679433,0.486960
176,-0.865748,-0.673389,0.794595,-0.638233,0.029504,-0.661207,-0.819283,-0.961843,-0.863037,-0.333518,0.504754
177,-0.849417,0.933791,0.071198,-0.828744,0.214327,-0.734174,-0.739243,-0.871186,-0.431794,-0.679849,0.529056
178,-0.926644,-1.076436,0.892742,-0.935527,-0.440172,-0.571448,-0.879915,-0.919324,-0.527088,-0.808873,0.288300
179,-0.931542,-1.272739,0.718809,-0.927185,-0.648174,-0.722648,-1.045518,-0.933159,-0.899432,-0.818608,0.640638
180,-0.804336,-1.215060,0.645934,-0.949160,-0.394796,-0.415960,-0.871477,-0.957809,-0.493819,-0.926493,0.544455
181,-0.907334,-0.679323,0.789924,-0.844376,-0.122020,-0.610512,-0.848898,-1.003472,-0.599376,-0.918718,0.319040
182,-0.837862,-1.146653,0.754972,-0.936615,-0.122636,-0.823965,-1.029612,-1.059453,-0.977817,-0.812834,0.447631
183,-0.878271,-0.478342,0.228709,-0.677338,0.073394,-0.736588,-0.804081,-0.890743,-0.337785,-0.729494,0.487611
184,-0.830121,-0.644779,0.697049,-0.927565,0.307694,-0.969049,-0.830624,-0.850898,-0.092889,-0.813984,0.499947
185,-0.914785,-0.385838,0.330137,-0.797165,0.134607,-0.529418,-0.804418,-0.943504,-0.575202,-0.788203,0.555432
186,-0.941413,-0.880849,0.757100,-0.920693,-0.467980,-0.870922,-0.877162,-0.973653,-0.724491,-0.873320,0.710294
187,-0.888488,-0.469116,0.952037,-0.869855,0.346845,-0.820810,-0.827308,-0.953665,-0.639733,-0.839374,0.387097
188,-0.883218,0.341799,-0.131894,-0.739372,0.072198,-0.688204,-0.710902,-0.898577,-0.284233,-0.629212,0.529100
189,-0.765391,-0.733597,0.481368,-0.910091,0.165323,-0.863053,-0.786629,-0.909833,-0.759471,-0.694227,0.380333
190,-0.950227,-0.303796,1.044858,-0.888354,0.318339,-0.571638,-0.727522,-0.942838,-0.364946,-0.849671,0.443781
191,-0.833881,-0.947986,0.557075,-0.895602,-0.597529,-0.835395,-0.930748,-0.949777,-0.914434,-0.920178,0.350177
192,-0.910087,-0.966697,1.036082,-0.877194,0.089256,-1.031888,-0.842574,-0.893899,-0.622783,-0.855281,0.760477
193,-0.913910,-0.615472,-0.788485,-0.805843,0.806797,-0.945761,-0.772520,-0.957330,-0.826671,-0.902016,0.960140
194,-0.867975,-1.365209,0.812554,-0.908289,-0.603259,-0.769315,-0.998006,-0.936304,-1.092477,-0.958958,0.678105
195,-0.900420,-1.108070,0.451551,-0.996129,-0.121318,-1.026171,-0.914166,-1.020495,-1.014079,-0.867122,0.751930
196,-0.892754,-0.623454,0.384606,-0.768774,0.236628,-0.696273,-0.716494,-0.926264,-0.702936,-0.875794,0.711164
197,-0.966147,-1.288952,0.892207,-0.932172,-0.571622,-0.793316,-0.939687,-0.974218,-0.741319,-0.766234,0.285790
198,-0.836611,-1.386607,0.688105,-0.964016,-0.845693,-0.931470,-1.039422,-1.048967,-0.981444,-1.075578,0.665202
199,-0.946305,-1.267442,0.470345,-0.855267,-0.395833,-0.918989,-0.982187,-0.947767,-1.015987,-1.051176,0.589133
200,-0.942041,-0.276458,0.184775,-0.768346,0.028370,-0.522935,-0.622669,-0.865222,-0.171552,-0.687699,0.375180
201,-0.878028,-0.402616,0.297997,-0.716367,-0.303594,-0.625442,-0.713784,-0.940605,-0.496552,-0.758162,0.376329
202,-0.927709,-0.755722,-0.641025,-0.865995,0.419622,-0.789258,-0.771549,-0.982275,-0.957760,-0.932996,0.665030
203,-0.894194,-0.427592,0.962745,-0.707722,-0.122797,-0.762353,-0.753902,-0.862272,-0.531029,-0.901740,0.608556
204,-0.950405,-1.480267,0.928630,-0.981184,-0.333844,-0.661216,-0.954527,-0.842581,-1.258376,-1.007640,0.528169
205,-0.885792,-0.737733,0.818807,-0.815472,-0.209102,-0.834707,-0.806925,-0.863997,-0.715568,-0.945242,0.787146
206,-0.866199,-0.173740,0.121680,-0.665224,-0.101408,-0.286417,-0.765896,-0.894150,-0.323258,-0.597906,0.478117
207,-0.844228,-1.093311,0.759079,-0.878832,-0.710353,-0.827770,-0.942312,-0.908700,-0.937241,-0.877602,0.524595
208,-0.935691,-1.304159,1.153778,-0.989636,0.121595,-0.694179,-0.985803,-0.968818,-0.688713,-0.919897,0.622230
209,-0.948026,-0.782068,-0.047648,-0.828288,-0.050882,-1.009307,-0.854464,-0.877454,-0.764823,-0.856699,0.732603
210,-0.845159,0.266602,-0.241149,-0.741808,0.023641,-0.610303,-0.722041,-0.872705,0.120387,-0.636507,0.450141
211,-0.929949,-0.762443,0.431105,-0.881338,-0.257083,-1.016250,-0.826346,-0.928386,-0.797826,-0.941916,0.868696
