,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
46,0.024150,0.058372,0.119728,0.293655,0.492633,0.025495,0.000003,0.035853,0.494884,0.039013,0.685556
47,0.033740,0.020634,0.491762,0.000422,0.362039,0.066664,0.002820,0.000301,0.116259,0.763248,0.649050
48,0.033426,0.021348,0.686674,0.072580,0.854516,0.029571,0.000000,0.000410,0.031771,0.072657,0.686125
49,0.025280,0.048430,0.351201,0.068871,0.430638,0.165647,0.000003,0.000683,0.000429,0.000056,0.718403
50,0.027017,0.037619,0.317745,0.000150,0.108009,0.073192,0.000000,0.000711,0.517491,0.632084,0.651883
51,0.043144,0.012084,0.889758,0.005701,0.534964,0.003540,0.000080,0.000218,0.005763,0.000007,0.644567
52,0.050191,0.009124,0.946744,0.000528,0.019621,0.198364,0.000056,0.000166,0.000309,0.001163,0.569385
53,0.027017,0.037619,0.465554,0.111295,0.910541,0.058994,0.000000,0.000666,0.059992,0.002842,0.633708
54,0.023461,0.065776,0.255677,0.115948,0.029399,0.058905,0.000000,0.001191,0.249072,0.023777,0.692439
55,0.027083,0.036795,0.253402,0.001936,0.017816,0.122054,0.000646,0.000531,0.015841,0.012394,0.658686
56,0.041942,0.012761,0.883175,0.009798,0.315973,0.127676,0.000014,0.000227,0.000418,0.000191,0.584234
57,0.028823,0.034802,0.843700,0.021965,0.028821,0.373128,0.000000,0.000567,0.000813,0.000115,0.691349
58,0.037140,0.016458,0.668029,0.010899,0.419528,0.109153,0.000018,0.000270,0.775239,0.001279,0.468533
59,0.037140,0.016458,0.904473,0.000011,0.174852,0.779656,0.000002,0.000275,0.015355,0.000191,0.404299
60,0.040904,0.013443,0.986229,0.003316,0.511317,0.000304,0.000030,0.000263,0.006785,0.000002,0.521369
61,0.030381,0.027182,0.239331,0.004867,0.992546,0.017314,0.000024,0.000492,0.025232,0.381675,0.632503
62,0.034167,0.019849,0.405847,0.000001,0.004888,0.020470,0.000041,0.000375,0.000082,0.070180,0.531514
63,0.023949,0.058037,0.465126,0.000731,0.616612,0.092499,0.000034,0.001071,0.144085,0.003010,0.651028
64,0.022212,0.083492,0.077028,0.038466,0.468325,0.056865,0.000001,0.001596,0.213967,0.000007,0.631445
65,0.041942,0.012761,0.501357,0.000421,0.045844,0.077496,0.000003,0.000201,0.000761,0.000001,0.629833
66,0.025601,0.045025,0.082859,0.008895,0.986978,0.030406,0.000001,0.000736,0.000267,0.000398,0.776509
67,0.025614,0.045577,0.537981,0.005441,0.670025,0.029998,0.000051,0.000721,0.007266,0.000016,0.610282
68,0.025729,0.046170,0.787352,0.000369,0.816463,0.055816,0.000000,0.000683,0.002804,0.274798,0.618689
69,0.040904,0.013443,0.779701,0.000346,0.062003,0.366850,0.000347,0.000224,0.004438,0.010837,0.772515
70,0.039789,0.014173,0.951485,0.000033,0.235702,0.037090,0.000197,0.000250,0.025708,0.063325,0.589297
71,0.040904,0.013443,0.589458,0.000063,0.047052,0.041273,0.000155,0.000220,0.063493,0.002420,0.669880
72,0.027008,0.038781,0.293388,0.000179,0.823810,0.029986,0.000000,0.000736,0.000495,0.000001,0.718623
73,0.047102,0.010235,0.971636,0.000985,0.085826,0.281288,0.000480,0.000183,0.000331,0.000490,0.574236
74,0.048531,0.011224,0.976525,0.002254,0.953444,0.319123,0.000999,0.000184,0.004592,0.009613,0.495155
75,0.025614,0.045577,0.220735,0.056844,0.844256,0.012804,0.000153,0.000780,0.000392,0.001879,0.667598
76,0.038911,0.014900,0.847379,0.001656,0.464774,0.019547,0.000026,0.000275,0.000375,0.000781,0.610993
77,0.025656,0.045958,0.042447,0.000049,0.290665,0.204525,0.000020,0.000670,0.001523,0.000090,0.613365
78,0.028823,0.027605,0.480843,0.000952,0.633826,0.073230,0.001106,0.000634,0.005931,0.004577,0.502328
79,0.028823,0.031427,0.629291,0.127073,0.879080,0.033467,0.000006,0.000544,0.000046,0.000001,0.662777
80,0.024267,0.055756,0.047736,0.017694,0.076368,0.008234,0.000002,0.001105,0.155596,0.008685,0.752900
81,0.034167,0.019849,0.581884,0.000007,0.025947,0.064506,0.000059,0.000284,0.023579,0.000390,0.471358
82,0.037140,0.016458,0.896338,0.000031,0.110931,0.555890,0.000040,0.000299,0.012455,0.000479,0.517046
83,0.027008,0.038781,0.462841,0.329296,0.108346,0.127416,0.000054,0.000658,0.002665,0.638758,0.551190
84,0.031779,0.023607,0.839635,0.009293,0.049935,0.045060,0.000002,0.000392,0.002650,0.001407,0.585281
85,0.021358,0.102447,0.145469,0.021036,0.246519,0.239833,0.000000,0.021947,0.002222,0.409666,0.680954
86,0.027661,0.037170,0.642127,0.018774,0.996003,0.034818,0.000001,0.000635,0.001602,0.241157,0.719959
87,0.023905,0.060826,0.509684,0.000133,0.123668,0.015064,0.000000,0.000963,0.334621,0.019265,0.608157
88,0.024853,0.050182,0.099568,0.001636,0.727112,0.146518,0.000002,0.000781,0.006121,0.157045,0.652631
89,0.037140,0.016458,0.804145,0.000291,0.042850,0.241633,0.000144,0.000265,0.001431,0.005139,0.528076
90,0.038211,0.015604,0.774480,0.009656,0.547013,0.169416,0.000598,0.000319,0.000365,0.030887,0.597644
91,0.022736,0.073915,0.140303,0.000014,0.208279,0.107364,0.000000,0.000932,0.006398,0.023518,0.786146
92,0.050191,0.009124,0.947139,0.000862,0.401337,0.092874,0.000019,0.000145,0.004080,0.000054,0.587890
93,0.030535,0.026449,0.488882,0.018074,0.047927,0.329678,0.000001,0.000384,0.017981,0.084213,0.547690
94,0.025656,0.045958,0.825262,0.388151,0.627550,0.081224,0.000289,0.000820,0.000307,0.001123,0.547846
95,0.041942,0.012761,0.789540,0.001979,0.121127,0.105221,0.000005,0.000201,0.000327,0.041630,0.611706
96,0.038911,0.014900,0.847379,0.005355,0.725197,0.004489,0.000046,0.000262,0.000113,0.001681,0.524727
97,0.030768,0.025615,0.845539,0.000107,0.033506,0.061415,0.000013,0.000456,0.374412,0.229836,0.623791
98,0.021268,0.101961,0.095444,0.000001,0.199716,0.033538,0.000000,0.001044,0.004278,0.303655,0.649332
99,0.025601,0.045025,0.632879,0.362650,0.009790,0.157775,0.000001,0.000771,0.003038,0.882707,0.531334
100,0.044368,0.011445,0.908365,0.000611,0.019148,0.041059,0.000022,0.000201,0.000129,0.002393,0.597436
101,0.035069,0.018868,0.894508,0.000686,0.033602,0.041066,0.000006,0.000410,0.003085,0.029713,0.323913
102,0.033426,0.021348,0.337791,0.000162,0.995865,0.056234,0.000011,0.000419,0.001655,0.000094,0.489526
103,0.037140,0.016458,0.806767,0.004113,0.197002,0.578076,0.000140,0.000277,0.000538,0.001011,0.633743
104,0.031288,0.025163,0.538961,0.000375,0.632637,0.302499,0.000001,0.000442,0.000009,0.009980,0.863088
105,0.023101,0.068707,0.297467,0.006044,0.660705,0.026309,0.000000,0.015157,0.224546,0.513737,0.793951
106,0.025656,0.045958,0.944731,0.189992,0.587382,0.027423,0.000057,0.000721,0.000332,0.078252,0.636366
107,0.028139,0.034233,0.144896,0.001506,0.528372,0.085093,0.000000,0.001843,0.211935,0.000025,0.459872
108,0.029505,0.030401,0.893488,0.194500,0.742019,0.004395,0.000063,0.000734,0.004037,0.295226,0.568506
109,0.031098,0.024689,0.328464,0.000029,0.302780,0.041387,0.000014,0.000358,0.019419,0.171603,0.675825
110,0.028152,0.033659,0.398581,0.000223,0.757921,0.029149,0.000012,0.000531,0.001484,0.000454,0.687885
111,0.039789,0.014173,0.841396,0.000391,0.686026,0.107155,0.000031,0.000243,0.006564,0.009019,0.694601
112,0.030768,0.025615,0.138364,0.000001,0.814457,0.000579,0.000005,0.000335,0.007152,0.748355,0.510931
113,0.035570,0.018108,0.763348,0.000318,0.010348,0.274490,0.000115,0.000334,0.015515,0.011146,0.562722
114,0.022572,0.076491,0.082062,0.000046,0.211098,0.258110,0.000000,0.001023,0.000493,0.006474,0.801615
115,0.038911,0.014900,0.799007,0.000013,0.125400,0.068581,0.000621,0.000274,0.030776,0.004327,0.521414
116,0.050191,0.009124,0.947139,0.000862,0.279837,0.025987,0.000051,0.000166,0.016433,0.000171,0.587890
117,0.026491,0.040651,0.931035,0.000255,0.608950,0.006825,0.000000,0.000675,0.001304,0.008455,0.683349
118,0.027545,0.035947,0.270745,0.020728,0.049354,0.263467,0.000007,0.000607,0.000882,0.831917,0.651176
119,0.027545,0.024305,0.303124,0.000500,0.713999,0.002235,0.000003,0.000735,0.000064,0.237469,0.664959
120,0.023588,0.063474,0.040481,0.015646,0.838055,0.564125,0.000001,0.001169,0.000276,0.644470,0.706256
121,0.030535,0.026449,0.482068,0.035305,0.845446,0.213881,0.000001,0.000390,0.020010,0.608263,0.572854
122,0.039789,0.014173,0.844052,0.000054,0.921500,0.066413,0.000343,0.000242,0.001499,0.374087,0.714719
123,0.036197,0.017302,0.786158,0.000497,0.011517,0.065762,0.002328,0.000289,0.002600,0.037891,0.641917
124,0.050191,0.009124,0.921254,0.000862,0.117893,0.073222,0.000067,0.000166,0.002194,0.000627,0.569385
125,0.026516,0.041120,0.440746,0.419661,0.108558,0.016570,0.000011,0.000626,0.004400,0.049703,0.572904
126,0.031288,0.025163,0.505845,0.000396,0.467617,0.033212,0.000218,0.000392,0.001087,0.059748,0.580051
127,0.024063,0.058447,0.302570,0.000006,0.525418,0.008219,0.000000,0.081003,0.046347,0.779383,0.622355
128,0.023817,0.060956,0.106885,0.000028,0.992827,0.007535,0.000001,0.001171,0.000004,0.132118,0.612543
129,0.050191,0.009124,0.947139,0.000273,0.003849,0.014201,0.000052,0.000161,0.000484,0.000242,0.701506
130,0.023588,0.063474,0.180423,0.515125,0.869208,0.321918,0.000000,0.001071,0.004974,0.010521,0.573134
131,0.044368,0.011445,0.908365,0.001123,0.249538,0.008139,0.000102,0.000177,0.001005,0.000024,0.598096
132,0.027017,0.037619,0.247691,0.079258,0.160740,0.361180,0.000000,0.000573,0.020333,0.010345,0.735741
133,0.033740,0.020634,0.974751,0.000006,0.319008,0.221663,0.000027,0.000311,0.004846,0.002278,0.615992
134,0.020376,0.111721,0.105172,0.006255,0.972534,0.038751,0.000000,0.001499,0.010161,0.042172,0.690584
135,0.024226,0.049290,0.445427,0.146240,0.964509,0.028134,0.000000,0.000734,0.188542,0.000259,0.717193
136,0.031487,0.024431,0.112942,0.000867,0.798737,0.033564,0.000010,0.000382,0.079751,0.002119,0.503838
137,0.040077,0.014112,0.646943,0.023342,0.273217,0.023899,0.000613,0.000272,0.044476,0.850912,0.592453
138,0.023817,0.066172,0.227398,0.000453,0.094089,0.500354,0.000106,0.001479,0.008905,0.001501,0.586749
139,0.025614,0.045577,0.142156,0.047662,0.489604,0.003341,0.000002,0.000959,0.006511,0.000788,0.723837
140,0.024619,0.053403,0.173836,0.000316,0.815662,0.065327,0.000000,0.001180,0.000039,0.598578,0.719397
141,0.028516,0.031153,0.415509,0.001534,0.159819,0.035913,0.000225,0.000516,0.014126,0.027148,0.795913
142,0.026575,0.041435,0.950579,0.000027,0.701071,0.007137,0.000002,0.001001,0.138013,0.520685,0.648684
143,0.036197,0.017302,0.786158,0.000497,0.011517,0.065762,0.002328,0.000289,0.002600,0.037891,0.641917
144,0.024226,0.049290,0.267620,0.019665,0.623954,0.007075,0.000000,0.000734,0.099161,0.000134,0.717193
145,0.050191,0.009124,0.947139,0.002796,0.155680,0.043171,0.000183,0.000149,0.000007,0.000264,0.569385
146,0.027008,0.038781,0.190404,0.000400,0.910000,0.000748,0.000004,0.000765,0.000648,0.016267,0.693974
147,0.028792,0.032025,0.451011,0.372798,0.953855,0.321807,0.000028,0.000583,0.000769,0.000203,0.725687
148,0.043144,0.012084,0.625368,0.001557,0.516013,0.109213,0.000178,0.000219,0.016916,0.005020,0.455940
149,0.040904,0.013443,0.927865,0.113092,0.157925,0.196829,0.000062,0.000233,0.000934,0.000849,0.512608
150,0.044368,0.011445,0.908365,0.000484,0.332492,0.001970,0.000061,0.000169,0.001473,0.000243,0.552584
151,0.034167,0.019849,0.360412,0.023777,0.627155,0.179849,0.000410,0.000352,0.020104,0.025935,0.608673
152,0.040904,0.013443,0.989144,0.018038,0.432189,0.072391,0.003359,0.000211,0.001110,0.001999,0.538805
153,0.033740,0.020634,0.688854,0.004037,0.174053,0.284571,0.001534,0.000383,0.003004,0.008687,0.537937
154,0.029867,0.027709,0.403956,0.033823,0.531514,0.135702,0.000004,0.000422,0.533709,0.009059,0.516479
155,0.039789,0.014173,0.946978,0.000631,0.273719,0.042664,0.000102,0.000237,0.021743,0.008419,0.589297
156,0.030535,0.026449,0.533379,0.010776,0.091016,0.258788,0.000024,0.000461,0.002776,0.001462,0.621055
157,0.030535,0.026449,0.288474,0.011705,0.207594,0.089950,0.000005,0.000487,0.010054,0.000251,0.826769
158,0.025656,0.045958,0.649456,0.000025,0.842011,0.003991,0.000001,0.000652,0.288026,0.000585,0.516365
159,0.022082,0.085900,0.055345,0.007311,0.986052,0.001654,0.000001,0.001332,0.000957,0.894056,0.630345
160,0.024704,0.053456,0.119690,0.088269,0.605173,0.007445,0.000000,0.001113,0.000012,0.000067,0.709981
161,0.029563,0.032811,0.174734,0.000006,0.729757,0.108755,0.000138,0.000404,0.768050,0.750204,0.588626
162,0.026993,0.038273,0.191478,0.018650,0.010823,0.860170,0.000000,0.000692,0.001745,0.016606,0.615186
163,0.025280,0.048430,0.031034,0.000708,0.450632,0.271225,0.000000,0.000693,0.004203,0.000037,0.631966
164,0.030142,0.026762,0.623568,0.000301,0.933438,0.031194,0.000024,0.000431,0.004682,0.019855,0.703224
165,0.028213,0.032946,0.445290,0.000070,0.061832,0.122216,0.000069,0.000580,0.043976,0.000324,0.499626
166,0.029680,0.028545,0.517896,0.005194,0.060192,0.094528,0.000027,0.000562,0.000048,0.001499,0.813083
167,0.021702,0.094874,0.019675,0.018303,0.349889,0.069389,0.000000,0.001340,0.050471,0.001711,0.661670
168,0.048531,0.009663,0.978631,0.116704,0.003257,0.263657,0.000181,0.000194,0.000716,0.000427,0.671120
169,0.029680,0.028545,0.649673,0.015434,0.264288,0.110335,0.003061,0.000531,0.046211,0.024903,0.633093
170,0.031098,0.024689,0.769516,0.002401,0.846487,0.045493,0.000029,0.000338,0.002491,0.107845,0.619324
171,0.024379,0.057835,0.177705,0.000163,0.322342,0.115233,0.004708,0.001520,0.058222,0.156453,0.573629
172,0.023458,0.063323,0.186363,0.059800,0.013277,0.009784,0.000000,0.000895,0.000826,0.479955,0.781103
173,0.027083,0.036795,0.129179,0.000123,0.288052,0.123161,0.000256,0.000608,0.018082,0.001174,0.647924
174,0.026491,0.040651,0.506437,0.021364,0.965647,0.009391,0.000005,0.000620,0.000646,0.243543,0.760366
175,0.024619,0.053403,0.043846,0.571300,0.216474,0.013242,0.000001,0.001123,0.154864,0.669882,0.578176
176,0.030535,0.026449,0.445813,0.022005,0.064512,0.416896,0.000003,0.000380,0.009426,0.348707,0.535940
177,0.022212,0.083492,0.093951,0.000327,0.954596,0.007269,0.000005,0.009325,0.002061,0.004996,0.632722
178,0.033740,0.020634,0.688854,0.000297,0.195567,0.413172,0.000224,0.000383,0.012049,0.011680,0.537937
179,0.044368,0.011445,0.671346,0.003305,0.389882,0.186143,0.000047,0.000179,0.003531,0.040226,0.600229
180,0.029680,0.028545,0.362878,0.000007,0.182229,0.321841,0.001282,0.000470,0.185252,0.012251,0.472794
181,0.033740,0.020634,0.870261,0.008565,0.741252,0.766058,0.000010,0.000362,0.041835,0.001282,0.329927
182,0.045670,0.010822,0.946846,0.002090,0.898361,0.132031,0.000362,0.000166,0.007388,0.149339,0.578196
183,0.024884,0.050634,0.193818,0.677806,0.632003,0.006005,0.000000,0.002007,0.217890,0.914985,0.560314
184,0.025656,0.045958,0.166644,0.000821,0.983031,0.002282,0.000000,0.000878,0.628437,0.007723,0.566445
185,0.026516,0.045233,0.063305,0.000028,0.063628,0.148651,0.000019,0.001135,0.123453,0.558615,0.544991
186,0.028910,0.030703,0.242454,0.123385,0.141988,0.008658,0.000018,0.000488,0.000383,0.005028,0.716821
187,0.027545,0.035947,0.398052,0.010011,0.945324,0.035921,0.000001,0.000605,0.080910,0.052556,0.606393
188,0.019712,0.177961,0.019878,0.010806,0.943537,0.117768,0.000000,0.002031,0.003914,0.334539,0.791729
189,0.022207,0.081847,0.016050,0.009269,0.590356,0.139071,0.000159,0.001448,0.125113,0.631128,0.586612
190,0.025280,0.048430,0.314937,0.108881,0.943246,0.045604,0.000005,0.000777,0.684065,0.003106,0.612196
191,0.028516,0.031153,0.351337,0.003409,0.000499,0.015626,0.000005,0.000508,0.000718,0.008165,0.615034
192,0.038911,0.014900,0.890638,0.001681,0.344108,0.006124,0.000151,0.000304,0.000963,0.001724,0.790642
193,0.026033,0.029908,0.069114,0.011695,0.998020,0.000438,0.000000,0.000754,0.000133,0.000000,0.626400
194,0.047102,0.010235,0.752816,0.000234,0.563719,0.006961,0.000162,0.000181,0.001666,0.025277,0.474258
195,0.035570,0.018108,0.964794,0.009348,0.978209,0.036603,0.000044,0.000312,0.001490,0.023104,0.620630
196,0.025601,0.045025,0.286473,0.000346,0.217800,0.087055,0.000002,0.000862,0.000693,0.000961,0.682923
197,0.037140,0.016458,0.808004,0.000178,0.232812,0.077612,0.000042,0.000265,0.006971,0.025957,0.548054
198,0.050191,0.009124,0.947139,0.000111,0.113184,0.182118,0.000312,0.000166,0.000998,0.000398,0.569385
199,0.041942,0.012761,0.838786,0.001452,0.016169,0.012559,0.000017,0.000197,0.000576,0.000190,0.584234
200,0.023588,0.063474,0.194783,0.000094,0.161587,0.062643,0.000182,0.001022,0.006581,0.000031,0.588598
201,0.025234,0.042852,0.374201,0.829930,0.468397,0.053067,0.000069,0.000759,0.117290,0.005926,0.448955
202,0.026033,0.029908,0.028163,0.000392,0.899813,0.028979,0.000007,0.000635,0.000036,0.003562,0.680575
203,0.025656,0.045958,0.889919,0.006004,0.362010,0.014243,0.000685,0.001444,0.012700,0.000325,0.694566
204,0.031779,0.023607,0.328000,0.001489,0.616131,0.090589,0.000217,0.000469,0.004291,0.001335,0.620522
205,0.026033,0.043095,0.415416,0.000571,0.077022,0.208726,0.000011,0.000703,0.018083,0.000008,0.621073
206,0.024704,0.053456,0.119542,0.033819,0.544272,0.274775,0.000000,0.001187,0.005944,0.988646,0.650683
207,0.039789,0.014173,0.847635,0.000313,0.005176,0.082391,0.000017,0.000213,0.001780,0.000334,0.589297
208,0.040904,0.013443,0.880743,0.000401,0.473133,0.123431,0.000002,0.000243,0.000420,0.013504,0.565468
209,0.029867,0.027709,0.314681,0.005104,0.998886,0.002749,0.000042,0.000518,0.000906,0.058259,0.660987
210,0.021011,0.104851,0.033293,0.000973,0.883687,0.392535,0.000000,0.001672,0.076417,0.000648,0.726138
211,0.023658,0.060195,0.580471,0.000379,0.200261,0.004857,0.000025,0.001067,0.022828,0.317915,0.798315
212,0.023461,0.065776,0.069787,0.011533,0.554386,0.309476,0.000000,0.001121,0.005852,0.585918,0.586257
213,0.024563,0.049980,0.239441,0.293299,0.304282,0.054659,0.000000,0.003126,0.016916,0.554938,0.598716
214,0.028233,0.031000,0.322072,0.054842,0.896764,0.000470,0.000015,0.000723,0.002845,0.669176,0.720485
215,0.045670,0.010822,0.682385,0.001205,0.232191,0.051728,0.000524,0.000173,0.000693,0.000806,0.551487
216,0.037140,0.016458,0.763336,0.000342,0.178052,0.063585,0.000069,0.001348,0.000811,0.000158,0.615869
217,0.035570,0.026482,0.763348,0.000149,0.033087,0.030567,0.000039,0.000873,0.000045,0.001296,0.603628
218,0.022762,0.070572,0.124301,0.000147,0.035952,0.075325,0.000000,0.001065,0.001446,0.001182,0.702379
219,0.029680,0.028545,0.405175,0.067528,0.067659,0.401719,0.000004,0.000409,0.011256,0.374764,0.543293
220,0.036197,0.017302,0.607154,0.017321,0.383823,0.045315,0.000078,0.000258,0.004012,0.000697,0.634587
221,0.033740,0.020634,0.259011,0.172885,0.061977,0.119058,0.000002,0.000311,0.005209,0.039406,0.560877
222,0.021134,0.107953,0.117943,0.008699,0.171764,0.015920,0.000000,0.001414,0.000861,0.596578,0.520392
223,0.021521,0.105444,0.009841,0.001845,0.666246,0.258559,0.000000,0.001420,0.352821,0.703352,0.684479
224,0.034167,0.019849,0.956452,0.029989,0.208596,0.004960,0.000011,0.000342,0.079183,0.019288,0.667181
225,0.021286,0.105090,0.019830,0.000081,0.998383,0.031724,0.000000,0.001485,0.032752,0.064669,0.714974
226,0.035570,0.018108,0.763348,0.000128,0.443666,0.027313,0.000111,0.000350,0.004616,0.000734,0.738018
227,0.025358,0.048586,0.585800,0.127091,0.966276,0.006311,0.000002,0.000920,0.001523,0.103023,0.478020
228,0.024416,0.055912,0.072622,0.004972,0.968334,0.061416,0.000006,0.001662,0.064292,0.020705,0.592830
229,0.036197,0.017302,0.694662,0.001622,0.039946,0.115181,0.000249,0.000254,0.001650,0.000217,0.636370
230,0.035570,0.018108,0.685594,0.000003,0.118006,0.013308,0.000428,0.000276,0.246624,0.157317,0.563547
231,0.026548,0.039250,0.089436,0.000889,0.193333,0.103721,0.000803,0.000628,0.707901,0.010923,0.598770
232,0.024329,0.055919,0.034524,0.007042,0.877494,0.061052,0.000000,0.000717,0.427367,0.296526,0.790164
233,0.028330,0.032105,0.389277,0.000547,0.334439,0.252479,0.000078,0.000577,0.000444,0.178466,0.653375
234,0.025210,0.047597,0.362725,0.093313,0.439154,0.111158,0.000003,0.001442,0.005552,0.000023,0.578631
235,0.026500,0.040032,0.176690,0.007288,0.126291,0.005429,0.000001,0.000577,0.002781,0.836863,0.790255
236,0.027203,0.035812,0.173293,0.035458,0.001477,0.092210,0.000000,0.000455,0.008099,0.013068,0.650461
237,0.024329,0.055919,0.109309,0.949527,0.339004,0.542002,0.010134,0.001310,0.891490,0.685220,0.724925
238,0.057421,0.007192,0.898459,0.000661,0.504428,0.077524,0.000154,0.000136,0.000434,0.000383,0.578755
239,0.029867,0.027709,0.680424,0.012348,0.986989,0.001166,0.000001,0.000427,0.000181,0.029621,0.472837
240,0.026491,0.027979,0.216558,0.000000,0.578948,0.097870,0.000000,0.000700,0.000795,0.000196,0.698934
241,0.019877,0.137398,0.023421,0.001279,0.983990,0.016818,0.000000,0.001851,0.274784,0.633374,0.760111
242,0.030535,0.026449,0.396260,0.067332,0.669986,0.118704,0.000001,0.000439,0.015118,0.004318,0.549073
243,0.040077,0.014112,0.851540,0.001397,0.287783,0.027183,0.000633,0.000300,0.016786,0.003150,0.592453
